Subsector,Feature,Importance
agrc,mcf_trww_treated_secondary_anaerobic,0.011101436165223681
agrc,frac_inen_energy_glass_coke,0.00960399395908928
agrc,frac_inen_energy_cement_natural_gas,0.009241027030663075
agrc,ef_trww_treated_advanced_aerobic_g_n2o_per_g_n,0.00801647312890517
agrc,frac_agrc_other_woody_perennial_cl2_wet,0.007701067634625236
agrc,frac_inen_energy_recycled_rubber_and_leather_natural_gas,0.006981199009879371
agrc,ef_waso_incineration_tonne_n2o_per_tonne_metal,0.006642131148775197
agrc,frac_agrc_other_woody_perennial_cl2_dry,0.006600744364366151
agrc,nemomod_enst_capital_cost_st_flywheels_usd_per_kwh,0.005774741614293366
agrc,ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_biofuels,0.005712869952845995
agrc,nemomod_entc_frac_min_share_production_pp_solar,0.005511963792619646
agrc,ef_lndu_conv_forests_mangroves_to_settlements_gg_co2_ha,0.004841702687465632
agrc,energydensity_enfu_mj_per_litre_fuel_biogas,0.004605070031389236
agrc,nemomod_entc_emissions_activity_ratio_scalar_pp_biomass_n2o,0.004569764217311597
agrc,avgmass_lvst_animal_chickens_kg,0.0045556461717015774
agrc,physparam_krem_sludge_factor_treated_secondary_aerobic,0.004304698059990506
agrc,efficfactor_enfu_industrial_energy_fuel_furnace_gas,0.004202006239209464
agrc,mcf_trww_treated_advanced_aerobic,0.004197448314022427
agrc,mcf_lsmm_liquid_slurry,0.00418183115661196
agrc,elecfuelefficiency_trns_water_borne_km_per_kwh,0.004138265897891474
ccsq,area_gnrl_country_ha,0.0
ccsq,avgload_trns_freight_tonne_per_vehicle_aviation,0.0
ccsq,avgload_trns_freight_tonne_per_vehicle_rail_freight,0.0
ccsq,avgload_trns_freight_tonne_per_vehicle_road_heavy_freight,0.0
ccsq,avgload_trns_freight_tonne_per_vehicle_water_borne,0.0
ccsq,avgmass_lvst_animal_buffalo_kg,0.0
ccsq,avgmass_lvst_animal_cattle_dairy_kg,0.0
ccsq,avgmass_lvst_animal_cattle_nondairy_kg,0.0
ccsq,avgmass_lvst_animal_chickens_kg,0.0
ccsq,avgmass_lvst_animal_goats_kg,0.0
ccsq,avgmass_lvst_animal_horses_kg,0.0
ccsq,avgmass_lvst_animal_mules_kg,0.0
ccsq,avgmass_lvst_animal_pigs_kg,0.0
ccsq,avgmass_lvst_animal_sheep_kg,0.0
ccsq,climate_change_factor_gnrl_hydropower_availability,0.0
ccsq,consumpinit_inen_energy_tj_per_mmm_gdp_other_product_manufacturing,0.0
ccsq,consumpinit_inen_energy_tj_per_tonne_production_cement,0.0
ccsq,consumpinit_inen_energy_tj_per_tonne_production_chemicals,0.0
ccsq,consumpinit_inen_energy_tj_per_tonne_production_electronics,0.0
ccsq,consumpinit_inen_energy_tj_per_tonne_production_glass,0.0
entc,frac_scoe_heat_energy_residential_solid_biomass,0.017323081706736274
entc,genfactor_lvst_daily_nitrogen_cattle_dairy,0.011685013944435163
entc,frac_lsmm_n_loss_volatilisation_storage_solid,0.009374504261691478
entc,frac_inen_energy_recycled_plastic_natural_gas,0.008469230172476184
entc,frac_lvst_mm_cattle_dairy_paddock_pasture_range,0.007650285302250943
entc,frac_agrc_vegetables_and_vines_cl1_tropical,0.007133125446930562
entc,frac_wali_ww_industrial_treatment_path_secondary_anaerobic,0.006943333031134106
entc,frac_lvst_livestock_demand_imported_cattle_dairy,0.0066522166694657605
entc,efficfactor_enfu_industrial_energy_fuel_natural_gas,0.006617368527852723
entc,ef_lvst_entferm_sheep_kg_ch4_head,0.006491733405428128
entc,frac_inen_energy_lime_and_carbonite_natural_gas,0.0063403276314615755
entc,mcf_lsmm_anaerobic_digester,0.006063279910286269
entc,elasticity_waso_msw_to_gdppc_other,0.006040580608226323
entc,energydensity_gravimetric_enfu_gj_per_tonne_fuel_coke,0.0059249559781317076
entc,frac_agrc_vegetables_and_vines_cl1_temperate,0.005547401910809529
entc,avgmass_lvst_animal_cattle_nondairy_kg,0.005369037197447717
entc,frac_waso_initial_composition_mun_paper,0.0052893816309142515
entc,ef_lsmm_direct_management_storage_solid_n2o_per_n,0.004921059065216073
entc,frac_agrc_combustion_factor_cereals,0.004871288104895619
entc,vol_ippu_glass_m3_ww_per_tonne_production,0.004748095578672745
fgtv,genfactor_lvst_daily_nitrogen_cattle_dairy,0.04216485822928691
fgtv,elasticity_ippu_chemicals_production_to_gdp,0.02761000612436659
fgtv,yf_agrc_pulses_tonne_ha,0.012168741479520238
fgtv,ratio_agrc_above_ground_residue_to_yield_tubers,0.010969713540728865
fgtv,vol_ippu_lime_and_carbonite_m3_ww_per_tonne_production,0.010491322109062371
fgtv,prodinit_ippu_plastic_tonne,0.00988792961574942
fgtv,frac_lsmm_n_loss_volatilisation_anaerobic_digester,0.007745164154944056
fgtv,frac_inen_energy_lime_and_carbonite_natural_gas,0.007637177507997499
fgtv,nemomod_entc_emissions_activity_ratio_scalar_pp_coal_ccs_ch4,0.007116155021692378
fgtv,genfactor_lvst_daily_volatile_solids_horses,0.006823702290238115
fgtv,dem_ippu_average_materials_tonne_per_household_wood,0.00646559674746314
fgtv,nemomod_entc_emissions_activity_ratio_scalar_pp_nuclear_ch4,0.006392769471477489
fgtv,frac_inen_energy_plastic_gasoline,0.0062905145636563105
fgtv,frac_agrc_vegetables_and_vines_cl1_temperate,0.006249369631389287
fgtv,ef_lndu_conv_forests_secondary_to_grasslands_gg_co2_ha,0.0061884719183350955
fgtv,qty_soil_organic_c_stock_tropical_crop_grass_tonne_per_ha,0.005889847550142399
fgtv,frac_wali_ww_domestic_urban_treatment_path_latrine_unimproved,0.005702099956532995
fgtv,frac_waso_initial_composition_mun_paper,0.005577786335058711
fgtv,frac_inen_energy_chemicals_electricity,0.00546839474226155
fgtv,elasticity_scoe_enerdem_per_hh_residential_elec_appliances_to_gdppc,0.005349995919283467
frst,ef_trns_mobile_combustion_road_heavy_freight_kg_ch4_per_tj_natural_gas,0.016354731789330598
frst,ef_ippu_tonne_ch4_per_tonne_production_chemicals,0.013811216676550022
frst,elasticity_waso_msw_to_gdppc_paper,0.011575967445661863
frst,consumpinit_inen_energy_tj_per_tonne_production_electronics,0.009717788553923459
frst,energydensity_enfu_mj_per_litre_fuel_biomass,0.00887583781021888
frst,ef_enfu_stationary_combustion_tonne_n2o_per_tj_fuel_oil,0.008861571586679282
frst,elasticity_agrc_fruits_demand_to_income,0.00793023347139894
frst,regressionb_agrc_above_ground_residue_rice_kg_per_ha,0.007663459010380961
frst,ef_fgtv_production_fugitive_tonne_co2_per_m3_fuel_natural_gas,0.006813978080785817
frst,elasticity_scoe_enerdem_per_hh_residential_elec_appliances_to_gdppc,0.006757434984814459
frst,frac_lsmm_n_loss_volatilisation_composting,0.006098284339338635
frst,frac_inen_energy_recycled_glass_diesel,0.005931260447186489
frst,efficfactor_entc_technology_fuel_use_pp_ocean,0.005492195780999407
frst,ef_trww_treated_septic_g_n2o_per_g_n,0.00499770461795461
frst,efficfactor_scoe_heat_energy_other_se_solid_biomass,0.00472863691698745
frst,regressionb_agrc_above_ground_residue_cereals_kg_per_ha,0.004116738985616576
frst,frac_inen_energy_textiles_electricity,0.004110733395267931
frst,cost_enfu_fuel_kerosene_usd_per_m3,0.004031623659999404
frst,elasticity_agrc_rice_demand_to_income,0.0038204107459040636
frst,nemomod_entc_frac_min_share_production_pp_hydropower,0.003772448456709719
inen,frac_waso_initial_composition_mun_plastic,0.016861784263904576
inen,frac_agrc_initial_area_cropland_sugar_cane,0.01499693757451422
inen,frac_inen_energy_cement_natural_gas,0.010772352457807088
inen,elasticity_protein_in_diet_to_gdppc,0.010087916672320498
inen,efficfactor_entc_technology_fuel_use_pp_geothermal,0.008542180492370594
inen,frac_lndu_other_cl2_wet,0.00830115501257759
inen,frac_inen_energy_electronics_furnace_gas,0.008140006104187279
inen,ef_trns_mobile_combustion_public_kg_ch4_per_tj_natural_gas,0.007894429220608812
inen,frac_waso_initial_composition_mun_wood,0.006800070995481142
inen,vkmt_per_vehicle_waso,0.006496120873315426
inen,frac_inen_energy_mining_natural_gas,0.006133570771141922
inen,frac_lvst_livestock_demand_imported_cattle_nondairy,0.00598574919347285
